"Country","Year","Electricity","No_Electricity","Clean_Fuels","No_Clean_Fuels","Electricity_Access_Rate","Clean_Fuels_Access_Rate"
"Pakistan",2019,160072868.1,56492448.86,58077590.2552941,114075829.982353,0.739143600401932,0.337359491174335
"Palau",2019,18001,219.787208685,14694.6862647059,3966.66667647059,0.987937556914103,0.787439491178687
"Panama",2019,4069556.944,176883.0556,2979124.73876471,543268.9083,0.958345565787657,0.845767122379204
"Papua New Guinea",2019,5569721.085,3206397.915,706773.479594118,6298997.28511765,0.634645118759215,0.10088447129246
"Paraguay",2019,7044639,315167.0083184,3402570.23605882,2668492.88158824,0.957177266905923,0.560457068246977
"Peru",2019,31972935.12,537526.8754,17209654.9960588,11382861.828,0.983466033934674,0.601893673857279
"Philippines",2019,103390437.9,4726184.107,36999141.6335294,53920865.4841176,0.956286239624708,0.40694169310451
"Romania",2019,19371648,5910.6801,16024623.7194118,4769275.63288235,0.999694972922153,0.770640631077395
"Russia",2019,144406261,216145.305,138427622.329412,5470912.26735294,0.998505450776803,0.96198076455272
"Rwanda",2019,4770764.815,7856173.185,42719.3939411765,9610786.42864706,0.377824363673917,0.00442527250993286
"Saint Lucia",2019,181968.3558,826.6441978,159038.7432625,10951.6317375,0.995477752685741,0.935574989245715
"Saint Vincent and the Grenadines",2019,110593,15228.0976574379,103886.787282353,4592.62448235294,0.878970236780972,0.957663630290378
"Samoa",2019,195516.256,1576.744,49424.1309117647,134474.927911765,0.992,0.268756845347384
"Sao Tome and Principe",2019,161677.1888,53370.81123,34325.1285117647,137134.224429412,0.751819076566373,0.200193969724946
"Saudi Arabia",2019,34268529,1853.80903666667,25080031.2423529,1111309.87476471,0.999945906380825,0.957569569660624
"Senegal",2019,11472638.85,4823723.152,3864996.87347059,8288616.53835294,0.704000000036327,0.318012161692634
"Serbia",2019,6931344.53,13890.47,4734735.90141176,2591029.981,0.998,0.646312751104873
"Seychelles",2019,97625,2964.30391865385,74237.1813470588,12408.4068882353,0.970530624995168,0.856791244182691
"Sierra Leone",2019,1773597.989,6039609.011,37672.6105923077,6376033.69715385,0.227,0.00587376608542374
"Solomon Islands",2019,470606.1305,199214.8695,38402.3004588235,470169.817188235,0.702584915223619,0.0755100390412558
"Somalia",2019,5564572.509,9878333.491,170933.4121,11592970.4553333,0.360331954944231,0.0145303305795625
"South Africa",2019,49774526.95,8783740.05,36521804.1723529,13615003.6511176,0.85,0.728442949558028
"South Korea",2019,51709098,489.43232357,47442387.1317647,1661483.39752941,0.999990534979143,0.966163901549508
"South Sudan",2019,743433.2739,10318680.73,60776.3711375,10070856.37925,0.0672053527596894,0.00599867490609305
"Sri Lanka",2019,21803000,2720798.56177263,4237200.2624375,15787620.175,0.889054766335678,0.211597416100462
"Sudan",2019,23045111.97,19768125.03,9043344.09,24211434.2629412,0.538270721506061,0.271941192751933
"Suriname",2019,569080.8461,12282.15385,442565.583935294,74944.7101823529,0.97887351989883,0.855182184713575
"Syria",2019,15247875.35,1822256.647,18951818.32,256957.81292,0.893248825063552,0.98662289512138
"Tajikistan",2019,9287037.733,33985.26681,4556323.46188235,2740431.71470588,0.996353912353752,0.624431456396042
"Tanzania",2019,21868058.8,36137402.2,682140.259670588,41705753.1523529,0.377000000051719,0.0160928086951614
"Thailand",2019,69555955.42,69625.581,47419113.1541176,18918132.6111765,0.999000000000014,0.714818841317136
"Timor",2019,1224793.853,68326.14749,46654.66809375,1016061.45693125,0.947161788956857,0.0439013458016857
"Togo",2019,4238477.744,3843881.256,210053.753482353,5926935.01111765,0.524410972588572,0.0342274951999271
"Tonga",2019,102825.048,1671.952,55437.1928647059,45900.5130176471,0.984,0.547053955701989
"Trinidad and Tobago",2019,1394969,32908.0743886667,1306136.81770588,11840.947,0.976953146052327,0.991015821877206
"Tunisia",2019,11694721,264060.248923077,10171912.4255294,276208.985305882,0.97791913377905,0.973563765729269
"Turkmenistan",2019,5936151.906,5942.094,4923448.79911765,77583.7892,0.999,0.984486445982929
"Tuvalu",2019,11655,263.823397818333,3735.44426666667,6684.15573333333,0.977864979703733,0.358501695522541
"Uganda",2019,18283339.43,25986247.57,264973.548170588,30590189.7458824,0.412999999977411,0.0085876566474584
"Ukraine",2019,44386203,10367.0136055,43227405.6582353,3367327.16588235,0.999766490663528,0.927731591924927
"Uruguay",2019,3458269.269,3461.731,3261030.64564706,92995.8837941176,0.999,0.972273360697116
"Uzbekistan",2019,33580350,62535.3389130833,24298590.3376471,3509418.48647059,0.998141201675091,0.873798282046469
"Vanuatu",2019,193922.4045,105959.5955,28470.4073117647,199036.063276471,0.646662368865087,0.125141088243127
"Venezuela",2019,28515829,256174.187865357,26698585.3505882,838494.355688235,0.991096407636525,0.96955035302828
"Vietnam",2019,95883335.35,578772.648,35296051.3688235,51185253.3382353,0.993999999999876,0.408135047087727
"Yemen",2019,21215794.4,7946127.597,13109769.1088235,8940508.47917647,0.727517013528208,0.594539867196865
"Zambia",2019,7680244.62,10180789.38,2003926.50876471,11063550.727,0.43,0.15335220965835
"Zimbabwe",2019,6017694.147,8627778.853,3893829.09588235,8732389.08058823,0.410891075146566,0.308392350065568
